participant,no_signed_duration,size,direction,correct,contrast,cond,response,log10_duration,duration,trial,session
perc002,0.027144,Large,-1,1,Low,control,0,-1.5663261533629387,-0.13572,134,1
perc002,0.07368,Small,1,1,Low,control,1,-1.1326503828112076,0.36839999999999995,135,1
perc002,0.2,Small,1,1,High,control,1,-0.6989700043360187,1,136,1
perc002,0.07368,Large,-1,1,High,control,0,-1.1326503828112076,-0.36839999999999995,137,1
perc002,0.12139,Small,1,1,High,control,1,-0.9158170885795264,0.60695,138,1
perc002,0.2,Large,1,1,Low,control,1,-0.6989700043360187,1,139,1
perc002,0.2,Small,1,1,High,control,1,-0.6989700043360187,1,140,1
perc002,0.12139,Small,-1,0,Low,control,1,-0.9158170885795264,-0.60695,141,1
perc002,0.027144,Large,-1,0,Low,control,1,-1.5663261533629387,-0.13572,142,1
perc002,0.027144,Large,-1,1,High,control,0,-1.5663261533629387,-0.13572,143,1
perc002,0.04472,Large,1,1,Low,control,1,-1.349498205121633,0.2236,144,1
perc002,0.12139,Small,-1,1,High,control,0,-0.9158170885795264,-0.60695,145,1
perc002,0.027144,Large,-1,1,High,control,0,-1.5663261533629387,-0.13572,146,1
perc002,0.01648,Small,1,1,High,control,1,-1.783042792638903,0.0824,147,1
perc002,0.07368,Small,1,1,High,control,1,-1.1326503828112076,0.36839999999999995,148,1
perc002,0.07368,Small,-1,0,Low,control,1,-1.1326503828112076,-0.36839999999999995,149,1
perc002,0.2,Large,1,1,High,control,1,-0.6989700043360187,1,150,1
perc002,0.12139,Large,1,1,Low,control,1,-0.9158170885795264,0.60695,151,1
perc002,0.07368,Small,-1,1,High,control,0,-1.1326503828112076,-0.36839999999999995,152,1
perc002,0.01648,Large,-1,0,High,control,1,-1.783042792638903,-0.0824,153,1
perc002,0.12139,Large,1,1,Low,control,1,-0.9158170885795264,0.60695,154,1
perc002,0.027144,Small,-1,1,High,control,0,-1.5663261533629387,-0.13572,155,1
perc002,0.04472,Small,1,1,Low,control,1,-1.349498205121633,0.2236,156,1
perc002,0.04472,Small,-1,1,High,control,0,-1.349498205121633,-0.2236,157,1
perc002,0.01648,Large,1,1,Low,control,1,-1.783042792638903,0.0824,158,1
perc002,0.07368,Large,-1,1,Low,control,0,-1.1326503828112076,-0.36839999999999995,159,1
perc002,0.04472,Large,-1,1,High,control,0,-1.349498205121633,-0.2236,160,1
perc002,0.12139,Large,1,1,Low,control,1,-0.9158170885795264,0.60695,161,1
perc002,0.12139,Small,1,1,Low,control,1,-0.9158170885795264,0.60695,162,1
perc002,0.07368,Small,-1,0,Low,control,1,-1.1326503828112076,-0.36839999999999995,163,1
perc002,0.2,Large,-1,1,High,control,0,-0.6989700043360187,-1,164,1
perc002,0.12139,Large,-1,1,High,control,0,-0.9158170885795264,-0.60695,165,1
perc002,0.04472,Large,1,0,High,control,0,-1.349498205121633,0.2236,166,1
perc002,0.027144,Large,-1,1,Low,control,0,-1.5663261533629387,-0.13572,167,1
perc002,0.027144,Small,1,0,Low,control,0,-1.5663261533629387,0.13572,168,1
perc002,0.2,Large,-1,1,High,control,0,-0.6989700043360187,-1,169,1
perc002,0.12139,Large,-1,1,Low,control,0,-0.9158170885795264,-0.60695,170,1
perc002,0.12139,Small,-1,1,Low,control,0,-0.9158170885795264,-0.60695,171,1
perc002,0.2,Large,1,1,Low,control,1,-0.6989700043360187,1,172,1
perc002,0.04472,Small,-1,0,Low,control,1,-1.349498205121633,-0.2236,173,1
perc002,0.027144,Large,-1,1,Low,control,0,-1.5663261533629387,-0.13572,174,1
perc002,0.2,Large,-1,1,Low,control,0,-0.6989700043360187,-1,175,1
perc002,0.01648,Small,-1,1,Low,control,0,-1.783042792638903,-0.0824,176,1
perc002,0.2,Small,1,1,High,control,1,-0.6989700043360187,1,177,1
perc002,0.2,Small,1,1,Low,control,1,-0.6989700043360187,1,178,1
perc002,0.027144,Small,-1,1,High,control,0,-1.5663261533629387,-0.13572,179,1
perc002,0.01648,Large,1,1,Low,control,1,-1.783042792638903,0.0824,180,1
perc002,0.12139,Small,1,1,High,control,1,-0.9158170885795264,0.60695,181,1
perc002,0.04472,Small,-1,1,High,control,0,-1.349498205121633,-0.2236,182,1
perc002,0.12139,Large,-1,1,High,control,0,-0.9158170885795264,-0.60695,183,1
perc002,0.07368,Small,1,1,Low,control,1,-1.1326503828112076,0.36839999999999995,184,1
perc002,0.04472,Large,1,1,Low,control,1,-1.349498205121633,0.2236,185,1
perc002,0.04472,Small,-1,1,High,control,0,-1.349498205121633,-0.2236,186,1
perc002,0.07368,Large,1,1,Low,control,1,-1.1326503828112076,0.36839999999999995,187,1
perc002,0.04472,Large,1,1,Low,control,1,-1.349498205121633,0.2236,188,1
perc002,0.01648,Large,1,0,High,control,0,-1.783042792638903,0.0824,189,1
perc002,0.04472,Small,1,1,High,control,1,-1.349498205121633,0.2236,190,1
perc002,0.2,Small,1,1,Low,control,1,-0.6989700043360187,1,191,1
perc002,0.07368,Large,-1,1,Low,control,0,-1.1326503828112076,-0.36839999999999995,192,1
perc002,0.07368,Small,1,1,Low,control,1,-1.1326503828112076,0.36839999999999995,193,1
perc002,0.04472,Large,-1,1,High,control,0,-1.349498205121633,-0.2236,194,1
perc002,0.12139,Large,-1,1,Low,control,0,-0.9158170885795264,-0.60695,195,1
perc002,0.12139,Small,1,1,Low,control,1,-0.9158170885795264,0.60695,196,1
perc002,0.027144,Large,-1,1,High,control,0,-1.5663261533629387,-0.13572,197,1
perc002,0.04472,Small,-1,0,Low,control,1,-1.349498205121633,-0.2236,198,1
perc002,0.027144,Small,1,0,Low,control,0,-1.5663261533629387,0.13572,199,1
perc002,0.01648,Small,1,1,Low,control,1,-1.783042792638903,0.0824,200,1
perc002,0.07368,Large,1,1,High,control,1,-1.1326503828112076,0.36839999999999995,201,1
perc002,0.12139,Large,1,1,High,control,1,-0.9158170885795264,0.60695,202,1
perc002,0.2,Large,1,1,High,control,1,-0.6989700043360187,1,203,1
perc002,0.01648,Large,-1,0,High,control,1,-1.783042792638903,-0.0824,204,1
perc002,0.12139,Large,-1,1,High,control,0,-0.9158170885795264,-0.60695,205,1
perc002,0.2,Large,-1,1,Low,control,0,-0.6989700043360187,-1,206,1
perc002,0.12139,Small,-1,1,High,control,0,-0.9158170885795264,-0.60695,207,1
perc002,0.2,Large,-1,1,High,control,0,-0.6989700043360187,-1,208,1
